NAME                                            ID              SIZE      MODIFIED     
baseline_llama_compact:latest                   2df54a4dae18    2.0 GB    2 hours ago     
speed_optimizer_phi:latest                      165639e8db2b    2.2 GB    2 hours ago     
phi3:mini                                       4f2222927938    2.2 GB    2 hours ago     
multilingual_assistant_qwen:latest              a8738f636c94    4.7 GB    2 hours ago     
qwen2.5:7b                                      845dbda0ea48    4.7 GB    2 hours ago     
analytical_expert_gemma:latest                  9fbdc217239c    5.4 GB    2 hours ago     
gemma2:9b                                       ff02c3702f32    5.4 GB    2 hours ago     
command-r:35b                                   7d96360d357f    18 GB     2 hours ago     
phi3:medium                                     cf611a26b048    7.9 GB    2 hours ago     
qwen2.5:32b                                     9f13ba1299af    19 GB     2 hours ago     
gemma2:27b                                      53261bc9c192    15 GB     2 hours ago     
llama3.2:3b                                     a80c4f17acd5    2.0 GB    33 hours ago    
matthew_context_provider_v5_complete:latest     e1cde85294ac    6.4 GB    2 days ago      
matthew_context_provider_v4_accurate:latest     5510defd3f6d    6.4 GB    2 days ago      
creative_catalyst:latest                        fab7bb31116f    6.4 GB    2 days ago      
practical_implementer:latest                    742db1609fa1    6.4 GB    2 days ago      
matthew_context_provider_v4:latest              339a42752a4e    6.4 GB    2 days ago      
universal_strategy_architect:latest             855029a016f9    6.4 GB    2 days ago      
enhanced_agent_enforcer:latest                  7e456c57d826    2.0 GB    5 days ago      
[company]_innovation_catalyst:latest               b2eefc671762    6.4 GB    5 days ago      
ai_leadership_strategist:latest                 ec97e083f8cc    2.0 GB    5 days ago      
matthew_context_provider_v3:latest              31e863fff068    2.0 GB    5 days ago      
solution_architect:latest                       4cccf1bedfb6    6.4 GB    5 days ago      
[company]_politics_navigator:latest                410c9d4493a1    6.4 GB    7 days ago      
advocates_meeting_optimizer_v2:latest           d30245aad083    6.4 GB    7 days ago      
matthews_strategic_accelerator_v2:latest        c6a36ba765f1    6.4 GB    7 days ago      
advocates_meeting_optimizer:latest              cfe4a44190f4    6.4 GB    9 days ago      
action_crystallizer:latest                      603e80e875cc    6.4 GB    9 days ago      
matthews_strategic_accelerator:latest           bfe468efb61d    6.4 GB    9 days ago      
daily_micro_action:latest                       c41af6b2bc6a    6.4 GB    9 days ago      
ai_career_strategist:latest                     29d05d4c0bda    6.4 GB    9 days ago      
personal_finance_navigator:latest               d166d782bd91    6.4 GB    9 days ago      
home_sale_optimizer:latest                      9a585a9e8fcd    6.4 GB    9 days ago      
[company]_ai_advocate:latest                       474a679eda20    6.4 GB    9 days ago      
optimized_action_prioritizer:latest             a1adc6b51bc5    6.4 GB    2 weeks ago     
optimized_decision_simplifier_v3:latest         a79b5fb147e2    6.4 GB    2 weeks ago     
llama3.2:3b-instruct-fp16                       195a8c01d91e    6.4 GB    2 weeks ago     
matthew_advisor_enhanced:latest                 9efdff4ecb75    2.0 GB    2 weeks ago     
matthew_advisor:latest                          146c2b6115ea    2.0 GB    2 weeks ago     
enhanced_agent_fast_v6:latest                   51feadb1b0da    2.0 GB    2 weeks ago     
financial_planning_expert_v6:latest             6cfba7dba95e    2.0 GB    2 weeks ago     
test_balanced_specialist:latest                 52480e2e1ed8    2.0 GB    3 weeks ago     
cross_model_synthesizer:latest                  b8891416b573    2.0 GB    3 weeks ago     
feedback_loop_optimizer_fixed:latest            b60f4120cee1    2.0 GB    3 weeks ago     
guitar_tone_architect:latest                    65c44f7e7103    2.0 GB    3 weeks ago     
music_career_timeline_strategist:latest         1cf38975fcb6    2.0 GB    3 weeks ago     
performance_anxiety_coach:latest                6b971c545ce8    2.0 GB    3 weeks ago     
family_music_mentor:latest             47571441cce1    2.0 GB    3 weeks ago     
family_wisdom_guide:latest             e3d9486404ea    2.0 GB    3 weeks ago     
financial_planning_expert_optimized:latest      2b6b45ff42a1    2.0 GB    3 weeks ago     
matthew_context_provider_optimized:latest       5ba959b6f19e    2.0 GB    3 weeks ago     
enhanced_agent_enforcer_v2:latest               d48730a126f7    2.0 GB    3 weeks ago     
mirador_system_specialist_v2:latest             23978e0056cb    2.0 GB    3 weeks ago     
